Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
CHAYO,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
CHAYO,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
CHAYO,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
CHAYO,2022,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
CHAYO,2022,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
CHAYO,2022,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
CHAYO,2023,8,4,26/04/2023,Yes,Meeting Attendance of the Board of Directors,1.,WUTISAK LAPCHAROENSAP,N/A,7 / 8,87.50,Yes,
CHAYO,2023,8,4,26/04/2023,Yes,Meeting Attendance of the Board of Directors,2.,SUKSAN YASASIN,N/A,8 / 8,100.00,Yes,
CHAYO,2023,8,4,26/04/2023,Yes,Meeting Attendance of the Board of Directors,3.,PIM PATTAMASING NA AYUTHAYA,N/A,8 / 8,100.00,Yes,
CHAYO,2023,8,4,26/04/2023,Yes,Meeting Attendance of the Board of Directors,4.,TEERANUT THANGSATAPORNPONG,N/A,7 / 8,87.50,Yes,
CHAYO,2023,8,4,26/04/2023,Yes,Meeting Attendance of the Board of Directors,5.,VITTHAYA INALA,N/A,2 / 8,25.00,No,
CHAYO,2023,8,4,26/04/2023,Yes,Meeting Attendance of the Board of Directors,6.,SEKSAN RANGSIYERANON,N/A,8 / 8,100.00,Yes,
CHAYO,2023,8,4,26/04/2023,Yes,Meeting Attendance of the Board of Directors,7.,ANON JARAYAPANT,N/A,8 / 8,100.00,Yes,
CHAYO,2023,8,4,26/04/2023,Yes,Meeting Attendance of the Board of Directors,8.,KITTI TUNGSRIWONG,N/A,8 / 8,100.00,Yes,
CHAYO,2023,8,4,26/04/2023,Yes,Meeting Attendance of the Board of Directors,9.,ROSPORN SOOKSOMPORN,N/A,8 / 8,100.00,Yes,
CHAYO,2023,8,4,26/04/2023,Yes,Meeting Attendance of Audit Committee,1.,ANON JARAYAPANT,N/A,4 / 4,100.00,,
CHAYO,2023,8,4,26/04/2023,Yes,Meeting Attendance of Audit Committee,2.,TEERANUT THANGSATAPORNPONG,N/A,3 / 4,75.00,,
CHAYO,2023,8,4,26/04/2023,Yes,Meeting Attendance of Audit Committee,3.,ROSPORN SOOKSOMPORN,N/A,4 / 4,100.00,,
CHAYO,2023,8,4,26/04/2023,Yes,Meeting Attendance of Executive Committee,1.,KITTI TUNGSRIWONG,N/A,N/A,N/A,,
CHAYO,2023,8,4,26/04/2023,Yes,Meeting Attendance of Executive Committee,2.,SUKSAN YASASIN,N/A,N/A,N/A,,
CHAYO,2023,8,4,26/04/2023,Yes,Meeting Attendance of Executive Committee,3.,PIM PATTAMASING NA AYUTHAYA,N/A,N/A,N/A,,
CHAYO,2023,8,4,26/04/2023,Yes,Meeting Attendance of Executive Committee,4.,SEKSAN RANGSIYERANON,N/A,N/A,N/A,,
CHAYO,2023,8,4,26/04/2023,Yes,Meeting Attendance of Executive Committee,5.,Nattapol  Thipchatchawanwong,N/A,N/A,N/A,,
CHAYO,2023,8,4,26/04/2023,Yes,Meeting Attendance of Executive Committee,6.,Natthawat  Yasasin,N/A,N/A,N/A,,
CHAYO,2023,8,4,26/04/2023,Yes,Meeting Attendance of Nomination and Remuneration Committee,1.,ANON JARAYAPANT,N/A,0 / 0,N/A,,
CHAYO,2023,8,4,26/04/2023,Yes,Meeting Attendance of Nomination and Remuneration Committee,2.,TEERANUT THANGSATAPORNPONG,N/A,0 / 0,N/A,,
CHAYO,2023,8,4,26/04/2023,Yes,Meeting Attendance of Nomination and Remuneration Committee,3.,SUKSAN YASASIN,N/A,0 / 0,N/A,,
CHAYO,2023,8,4,26/04/2023,Yes,Meeting Attendance of Nomination and Remuneration Committee,4.,KITTI TUNGSRIWONG,N/A,0 / 0,N/A,,
CHAYO,2023,8,4,26/04/2023,Yes,Meeting Attendance of Risk Management Committee,1.,TEERANUT THANGSATAPORNPONG,N/A,0 / 0,N/A,,
CHAYO,2023,8,4,26/04/2023,Yes,Meeting Attendance of Risk Management Committee,2.,SUKSAN YASASIN,N/A,0 / 0,N/A,,
